k_id,title,synopsis,type,seasons,imageUrl
"0001",Doctor Slump,"Selama masa sekolahnya, Yeo Jeong Woo selalu mendapat peringkat pertama di bidang akademik dan dia belajar di sekolah kedokteran terbaik di negaranya. Jeong Woo sekarang menjadi seorang ahli bedah plastik yang populer. Hidupnya berjalan lancar, namun karena kecelakaan medis misterius, hidupnya terdesak ke ujung tanduk. Saat ini, dia bertemu Nam Ha Neul. Dia adalah saingan di masa lalunya dan dia bertemu dengannya di titik terendah dalam hidupnya.",K-Drama,2024,412dd8ef-d932-4ec5-a013-f0ae942cc000.jpg
"0002",The Uncanny Counter Season 2,"Bermula dari kisah yang terjadi di dunia fiksi Korea Selatan, saat roh-roh jahat dari alam baka mengambil alih manusia dengan tujuan untuk hidup abadi. Agar bisa menjaga keseimbangan dunia, lantas orang-orang yang tidak mempunyai apa-apa atau telah berada di ambang kematian telah menjadi Counter. Counter bertugas untuk mencegah roh-roh ini dalam meneror penghuninya lebih jauh.",K-Drama,2023,8f5d8669-ca2c-465a-a524-b41d72e0938b.jpg
"0003",Moving,"Berawal dari kisah Kim Bong-Seok, Jang Hee-Soo, dan Lee Gang-Hoon yang bersekolah di SMA yang sama. Meski tampak seperti siswa biasa, tetapi mereka mempunyai kemampuan khusus yang diwarisi oleh orang tua mereka. Kim Bong-Seok mempunyai kemampuan untuk terbang, Jang Hee-Soo mempunyai kemampuan atletik yang sangat baik dan bisa pulih dari cedera dengan cepat.",K-Drama,2023,83793a9e-0004-4b86-ae70-1d81ddcab084.jpg
"0004",My Lovely Liar,"Menceritakan tentang seorang wanita yang tidak bisa mempercayai orang lain, dia adalah Mok Sol Hee (diperankan oleh Kim So Hyun). Hal ini terjadi bukan tanpa alasan, tetapi karena dia memiliki kemampuan untuk mendengar kebohongan dari orang lain. Suatu ketika dia berhadapan dengan seorang tersangka pembunuhan yang tidak dipercaya oleh siapapun.",K-Drama,2023,7a90a6b0-9e83-47bf-becc-9580ef491084.jpg
"0005",Shadow Detective Season 2,"Shadow Detective pada musim pertama bercerita tentang Kim Tae Rok, seorang detektif veteran yang hampir pensiun. Suatu hari, dia menerima telepon dari seseorang yang mengaku sebagai teman lamanya. Sosok tersebut menjebak Kim Tae Rok dalam kasus pembunuhan hingga kemudian memerasnya. Pemeras itu menyarankan sebuah permainan dan memerintahkan Kim Tae Rok untuk meninjau kasus di masa lalu yang pernah ditanganinya. Detektif tua itu mati-matian mengingat masa lalu untuk mencari tahu dalang pemeras tersebut dan menemukan niatnya.",K-Drama,2023,bd56a6fe-92fa-4134-b708-d38e132d5d4a.jpg
"0006",Heartbeat,"Mengikuti kisah Seon Woo Hyeol, makhluk setengah manusia dan setengah vampir. Seon Woo Hyeol diceritakan sangat ingin menjadi manusia. Namun, dia melewatkan kesempatannya karena satu hari yang menentukan dalam 100 tahun. Berkaitan dengan hal tersebut, drama ini akan memperlihatkan bagaimana perjuangan vampir Woo Hyeol untuk bertahan hidup di dunia manusia modern.",K-Drama,2023,7d4ef16d-a0f8-40e9-9bf3-4e8942026f3c.jpg
"0007",Revenant,Ku San-Young merupakan gadis yang dirasuki oleh salah satu iblis yang mulai bermunculan saat pintu ke dunia lain terbuka. Terdapat sosok bernama Yeom Hae-Sang yang bisa melihat keberadaan iblis tersebut dan kemudian keduanya bekerja sama untuk mencari tahu kebenaran di balik semua misteri tersebut.,K-Drama,2023,77ae002c-9719-472e-a83f-975029e872cc.jpg
"0008",Numbers,Mengisahkan Jang Ho Woo (diperankan oleh Kim Myung Soo) bekerja sebagai akuntan di Kantor Akuntan Taeil. Perusahaan itu adalah salah satu dari 4 kantor akuntan besar di Korea Selatan.,K-Drama,2023,e89cb95a-73b6-45df-8e5a-b1f66b855d66.jpg
"0009",See You in My 19th Life,"Mengikuti kisah Ban Ji Eum yang telah berulang kali bereinkarnasi selama hampir 1.000 tahun. Dia memiliki kemampuan yang luar biasa yakni dapat mengingat kenangan dari kehidupan masa lalunya. Setelah kehidupan Ban Ji Eum yang ke-18 berakhir tragis, dia memutuskan untuk berhubungan kembali dengan orang-orang dari kehidupan sebelumnya di kehidupan saat ini. Secara spesifik, dia memutuskan untuk menemukan pria bernama Moon Seo Ha dari kehidupannya yang ke-18. Di sisi lain, hidup seorang arsitek bernama Yoon Cho Won, adik perempuan dari Yoon Yoo Won. Hidupnya terasa runtuh setelah kematian kakak perempuan yang dicintainya itu.",K-Drama,2023,965195d1-3ea1-482c-9af3-795b8fa7d184.jpg
"0010",Lies Hidden in My Garden,menceritakan tentang dua ibu rumah tangga bernama Joo Ran dan Sang Eun yang memiliki latar kehidupan bertolak belakang. Joo Ran digambarkan memiliki kehidupan yang sempurna. Ia memiliki suami seorang dokter perfeksionis yang menjalankan rumah sakit anak. Sementara San Eun digambarkan hidup dengan penuh penderitaan. Dia mengalami kekerasan dalam rumah tangga oleh suaminya. Namun dia berusaha keluar dari realita mengerikan tersebut.,K-Drama,2023,10091e2a-3765-4530-aa0a-9bdcf4142b10.jpg
